activityId,processId,templateId,displayName,description,taskId,conditionalGroupName,conditionalGroupOption,diagram_x,diagram_y,schematic_x,schematic_y,createdDateTime,lastUpdatedDateTime,status,progress,plannedStartDateTime,plannedCompleteDateTime,predictedStartDateTime,predictedCompleteDateTime,actualStartDateTime,actualCompleteDateTime,actualDuration,typicalDuration,maximumDuration,slaViolation,slaViolationDateTime,application,applicationCode,applicationMessage,isError,hadError,errorCode,errorMessage,value,milestoneId,releasePolicy,action,plannedActivationDateTime,plannedReleaseDateTime,predictedActivationDateTime,predictedReleaseDateTime,actualActivationDateTime,actualReleaseDateTime,activated,released,sequence,initialMilestoneId,terminalMilestoneId,errorCount,transitionId,initialActivityId,terminalActivityId,processObjectType,uniqueId
BackupDocument,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,End,End description,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:55.688+0100,Released,,,,,,,,,,,,,,,,,,,,,End,,,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:55.688+0100,true,true,,,,,,,,Milestone,Activity-BackupDocument|Milestone-End
SignDocument,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,Start,Start description,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:46.688+0100,Released,,,,,,,,,,,,,,,,,,,,,Start,,,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:46.688+0100,true,true,,,,,,,,Milestone,Activity-SignDocument|Milestone-Start
SendToPartner,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,Start,Start description,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:55.688+0100,Released,,,,,,,,,,,,,,,,,,,,,Start,,,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:55.688+0100,true,true,,,,,,,,Milestone,Activity-SendToPartner|Milestone-Start
SignDocument,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,End,End description,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:49.688+0100,Released,,,,,,,,,,,,,,,,,,,,,End,,,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:49.688+0100,true,true,,,,,,,,Milestone,Activity-SignDocument|Milestone-End
SignDocument,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:49.688+0100,Completed,,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:49.688+0100,3000,3000,6000,false,,,,,false,,,,,,,,,,,,,,,,1,Start,End,0,,,,Section,Activity-SignDocument|Section-1
BackupDocument,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:55.688+0100,Completed,,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:55.688+0100,6000,6000,12000,false,,,,,false,,,,,,,,,,,,,,,,1,Start,End,0,,,,Section,Activity-BackupDocument|Section-1
SendToPartner,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:38:03.688+0100,Completed,,2023-10-17 16:37:55.688+0100,2023-10-17 16:38:03.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:38:03.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:38:03.688+0100,8000,8000,16000,false,,,,,false,,,,,,,,,,,,,,,,1,Start,End,0,,,,Section,Activity-SendToPartner|Section-1
ValidateInvoice,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:46.688+0100,Completed,,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:46.688+0100,2000,2000,4000,false,,,,,false,,,,,,,,,,,,,,,,1,Start,End,0,,,,Section,Activity-ValidateInvoice|Section-1
InboundInvoice,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:44.688+0100,Completed,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:44.688+0100,10000,10000,20000,false,,,,,false,,,,,,,,,,,,,,,,1,Start,End,0,,,,Section,Activity-InboundInvoice|Section-1
,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,Document Handler,Document Handler description,DocumentHandler,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:55.688+0100,Completed,On Time,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:55.688+0100,9000,9000,18000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,Task,Task-DocumentHandler
,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:34.688+0100,Activated,,,,,,,,,,,,,,,,,,,,,,,ERP.Invoice.Inbound.Trigger.Basic,2023-10-17 16:37:34.688+0100,,2023-10-17 16:37:34.688+0100,,2023-10-17 16:37:34.688+0100,,true,,,,Start,,9b18f440-aa0b-43fd-8322-dac9ffd7831a,,InboundInvoice,Transition,Transition-9b18f440-aa0b-43fd-8322-dac9ffd7831a
,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:44.688+0100,Activated,,,,,,,,,,,,,,,,,,,,,,,ERP.Invoice.Inbound.Complete,2023-10-17 16:37:44.688+0100,,2023-10-17 16:37:44.688+0100,,2023-10-17 16:37:44.688+0100,,true,,,End,Start,,85d965c8-5d7d-421f-abe1-a070bcc3f22c,InboundInvoice,ValidateInvoice,Transition,Transition-85d965c8-5d7d-421f-abe1-a070bcc3f22c
,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:55.688+0100,Activated,,,,,,,,,,,,,,,,,,,,,,,ERP.Invoice.BackupDoc.Complete,2023-10-17 16:37:55.688+0100,,2023-10-17 16:37:55.688+0100,,2023-10-17 16:37:55.688+0100,,true,,,End,Start,,5f07342c-5739-4145-8aec-d9b939ff1a3e,BackupDocument,SendToPartner,Transition,Transition-5f07342c-5739-4145-8aec-d9b939ff1a3e
,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:49.688+0100,Activated,,,,,,,,,,,,,,,,,,,,,,,ERP.Invoice.SignDoc.Complete,2023-10-17 16:37:49.688+0100,,2023-10-17 16:37:49.688+0100,,2023-10-17 16:37:49.688+0100,,true,,,End,Start,,f595dc2e-b1fc-47b8-8d13-3a97fe187653,SignDocument,BackupDocument,Transition,Transition-f595dc2e-b1fc-47b8-8d13-3a97fe187653
,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:38:03.688+0100,Activated,,,,,,,,,,,,,,,,,,,,,,,ERP.Invoice.SendToPartner.Complete,2023-10-17 16:38:03.688+0100,,2023-10-17 16:38:03.688+0100,,2023-10-17 16:38:03.688+0100,,true,,,End,,,b0497c7d-736c-4415-b36f-ab17f4c20469,SendToPartner,,Transition,Transition-b0497c7d-736c-4415-b36f-ab17f4c20469
,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:46.688+0100,Activated,,,,,,,,,,,,,,,,,,,,,,,ERP.Invoice.Validate.Complete,2023-10-17 16:37:46.688+0100,,2023-10-17 16:37:46.688+0100,,2023-10-17 16:37:46.688+0100,,true,,,End,Start,,06ffd7f9-96a8-4c21-8431-9f072e9ec2c0,ValidateInvoice,SignDocument,Transition,Transition-06ffd7f9-96a8-4c21-8431-9f072e9ec2c0
InboundInvoice,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,Inbound Invoice,Inbound Invoice description,,,,50,100,50,50,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:44.692+0100,Completed,On Time,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:44.692+0100,10000,10000,20000,false,,,,,false,false,,,54687.73,,,,,,,,,,,,,,,,,,,Activity,Activity-InboundInvoice
BackupDocument,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,Backup Document,Backup Document description,DocumentHandler,,,250,300,350,50,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:58.692+0100,Completed,Delayed,2023-10-17 16:37:49.692+0100,2023-10-17 16:37:55.692+0100,2023-10-17 16:37:50.692+0100,2023-10-17 16:37:57.692+0100,2023-10-17 16:37:51.692+0100,2023-10-17 16:37:58.692+0100,7000,6000,12000,false,,,,,false,false,,,54687.73,,,,,,,,,,,,,,,,,,,Activity,Activity-BackupDocument
SignDocument,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,Sign Document,Sign Document description,DocumentHandler,,,50,300,250,50,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:51.692+0100,Completed,Delayed,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:49.692+0100,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:50.692+0100,2023-10-17 16:37:47.692+0100,2023-10-17 16:37:51.692+0100,4000,3000,6000,true,2023-10-17 16:37:51.692+0100,,,,false,false,,,54687.73,,,,,,,,,,,,,,,,,,,Activity,Activity-SignDocument
SendToPartner,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,Send to Partner,Send to Partner description,,,,450,300,450,50,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:58.692+0100,Running,Jeopardy,2023-10-17 16:37:55.692+0100,2023-10-17 16:38:03.692+0100,2023-10-17 16:37:57.692+0100,2023-10-17 16:38:06.692+0100,2023-10-17 16:37:58.692+0100,,,8000,16000,false,,,,,false,false,,,54687.73,,,,,,,,,,,,,,,,,,,Activity,Activity-SendToPartner
ValidateInvoice,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,Validate Invoice,Validate Invoice description,,,,250,100,150,50,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:47.692+0100,Completed,Delayed,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:47.692+0100,3000,2000,4000,false,,,,,false,false,,,54687.73,,,,,,,,,,,,,,,,,,,Activity,Activity-ValidateInvoice
ValidateInvoice,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,End,End description,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:47.692+0100,Released,,,,,,,,,,,,,,,,,,,,,End,,,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:47.692+0100,2023-10-17 16:37:47.692+0100,true,true,,,,,,,,Milestone,Activity-ValidateInvoice|Milestone-End
InboundInvoice,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,End,End description,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:44.692+0100,Released,,,,,,,,,,,,,,,,,,,,,End,,,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:44.692+0100,true,true,,,,,,,,Milestone,Activity-InboundInvoice|Milestone-End
BackupDocument,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,Start,Start description,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:51.692+0100,Released,,,,,,,,,,,,,,,,,,,,,Start,,,2023-10-17 16:37:49.692+0100,2023-10-17 16:37:49.692+0100,2023-10-17 16:37:50.692+0100,2023-10-17 16:37:50.692+0100,2023-10-17 16:37:51.692+0100,2023-10-17 16:37:51.692+0100,true,true,,,,,,,,Milestone,Activity-BackupDocument|Milestone-Start
SignDocument,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,End,End description,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:51.692+0100,Released,,,,,,,,,,,,,,,,,,,,,End,,,2023-10-17 16:37:49.692+0100,2023-10-17 16:37:49.692+0100,2023-10-17 16:37:50.692+0100,2023-10-17 16:37:50.692+0100,2023-10-17 16:37:51.692+0100,2023-10-17 16:37:51.692+0100,true,true,,,,,,,,Milestone,Activity-SignDocument|Milestone-End
BackupDocument,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,End,End description,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:58.692+0100,Released,,,,,,,,,,,,,,,,,,,,,End,,,2023-10-17 16:37:55.692+0100,2023-10-17 16:37:55.692+0100,2023-10-17 16:37:57.692+0100,2023-10-17 16:37:57.692+0100,2023-10-17 16:37:58.692+0100,2023-10-17 16:37:58.692+0100,true,true,,,,,,,,Milestone,Activity-BackupDocument|Milestone-End
SendToPartner,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,End,End description,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:34.692+0100,Pending,,,,,,,,,,,,,,,,,,,,,End,,,2023-10-17 16:38:03.692+0100,2023-10-17 16:38:03.692+0100,2023-10-17 16:38:06.692+0100,2023-10-17 16:38:06.692+0100,,,false,false,,,,,,,,Milestone,Activity-SendToPartner|Milestone-End
SendToPartner,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,Start,Start description,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:58.692+0100,Released,,,,,,,,,,,,,,,,,,,,,Start,,,2023-10-17 16:37:55.692+0100,2023-10-17 16:37:55.692+0100,2023-10-17 16:37:57.692+0100,2023-10-17 16:37:57.692+0100,2023-10-17 16:37:58.692+0100,2023-10-17 16:37:58.692+0100,true,true,,,,,,,,Milestone,Activity-SendToPartner|Milestone-Start
InboundInvoice,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,Start,Start description,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:34.692+0100,Released,,,,,,,,,,,,,,,,,,,,,Start,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:34.692+0100,true,true,,,,,,,,Milestone,Activity-InboundInvoice|Milestone-Start
SignDocument,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,Start,Start description,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:47.692+0100,Released,,,,,,,,,,,,,,,,,,,,,Start,,,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:47.692+0100,2023-10-17 16:37:47.692+0100,true,true,,,,,,,,Milestone,Activity-SignDocument|Milestone-Start
ValidateInvoice,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,Start,Start description,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:44.692+0100,Released,,,,,,,,,,,,,,,,,,,,,Start,,,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:44.692+0100,true,true,,,,,,,,Milestone,Activity-ValidateInvoice|Milestone-Start
SendToPartner,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:58.692+0100,Running,,2023-10-17 16:37:55.692+0100,2023-10-17 16:38:03.692+0100,2023-10-17 16:37:57.692+0100,2023-10-17 16:38:06.692+0100,2023-10-17 16:37:58.692+0100,,,8000,16000,false,,,,,false,,,,,,,,,,,,,,,,1,Start,End,0,,,,Section,Activity-SendToPartner|Section-1
InboundInvoice,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:44.692+0100,Completed,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:44.692+0100,10000,10000,20000,false,,,,,false,,,,,,,,,,,,,,,,1,Start,End,0,,,,Section,Activity-InboundInvoice|Section-1
ValidateInvoice,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:47.692+0100,Completed,,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:44.692+0100,2023-10-17 16:37:47.692+0100,3000,2000,4000,false,,,,,false,,,,,,,,,,,,,,,,1,Start,End,0,,,,Section,Activity-ValidateInvoice|Section-1
BackupDocument,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:58.692+0100,Completed,,2023-10-17 16:37:49.692+0100,2023-10-17 16:37:55.692+0100,2023-10-17 16:37:50.692+0100,2023-10-17 16:37:57.692+0100,2023-10-17 16:37:51.692+0100,2023-10-17 16:37:58.692+0100,7000,6000,12000,false,,,,,false,,,,,,,,,,,,,,,,1,Start,End,0,,,,Section,Activity-BackupDocument|Section-1
SignDocument,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,,,,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:51.692+0100,Completed,,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:49.692+0100,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:50.692+0100,2023-10-17 16:37:47.692+0100,2023-10-17 16:37:51.692+0100,4000,3000,6000,false,,,,,false,,,,,,,,,,,,,,,,1,Start,End,0,,,,Section,Activity-SignDocument|Section-1
,6c7d4dac-084f-4ad8-97fe-9262d8b2fd54,BasicTemplate_1.0,Document Handler,Document Handler description,DocumentHandler,,,,,,,2023-10-17 16:37:34.692+0100,2023-10-17 16:37:58.692+0100,Completed,Delayed,2023-10-17 16:37:46.692+0100,2023-10-17 16:37:55.692+0100,2023-10-17 16:37:50.692+0100,2023-10-17 16:37:57.692+0100,2023-10-17 16:37:47.692+0100,2023-10-17 16:37:58.692+0100,11000,9000,18000,true,2023-10-17 16:37:58.692+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,Task,Task-DocumentHandler
